DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2013-0433-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2013-000139,Typhoon Haiyan (Yolanda),VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ninh, Hai Phong City, Bac Giang, Quang Ngai, Thanh Hoa, Nghe An, Ha Tinh, Quang Tri, Thua Thien - Hue, Da Nang City, Quang Nam provinces",,,No,No,No,,102,Kph,,,,2013,11,11,2013,11,11,16,89,12630,375,13094,,,,,734000,988369,74.2637290732739,"[{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3351,""adm1_name"":""Hai Phong City""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2013-11-19,2023-09-25
2013-0443-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2013-000142,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ngai, Binh Dinh, Quang Nam, Da Nang City, Phu Yen, Gia Lai, Kon Tum provinces",Tropical depression Podul,,No,No,No,,48985,Km2,15.58,107.7,Mekong river,2013,11,14,2013,11,20,47,66,2127865,2070,2130001,,,,,72000,96952,74.2637290732739,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""}]",2014-03-20,2025-06-25
2014-0227-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2014-000092,Typhoon Rammasun (Glenda),VNM,Viet Nam,South-eastern Asia,Asia,Mong Cai Township district (Quang Ninh province),,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2014,7,19,2014,7,20,27,,36000,,36000,,,,,6200,8215,75.4684556780686,"[{""adm2_code"":74195,""adm2_name"":""Mong Cai Township""}]",2014-07-22,2023-09-25
2014-0390-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2014-000124,Typhoon Kalmaegi (Luis),VNM,Viet Nam,South-eastern Asia,Asia,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Ha Tinh, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Nghe An, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai provinces",,,No,No,No,,130,Kph,,,,2014,9,16,2014,9,16,11,,11325,,11325,,,,,4500,5963,75.4684556780686,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3331,""adm1_name"":""Bac Ninh""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3346,""adm1_name"":""Ha Nam""},{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3348,""adm1_name"":""Ha Tay""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3350,""adm1_name"":""Hai Duong""},{""adm1_code"":3351,""adm1_name"":""Hai Phong City""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3354,""adm1_name"":""Hung Yen""},{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3367,""adm1_name"":""Ninh Binh""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3380,""adm1_name"":""Thai Binh""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2014-10-10,2025-06-25
2014-0474-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Sinlaku' (Queenie),VNM,Viet Nam,South-eastern Asia,Asia,"Phu Yen, Binh Dinh provinces",,,No,No,No,,,Kph,,,,2014,11,30,2014,11,30,,,750,,750,,,,,,,75.4684556780686,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""}]",2014-12-12,2023-09-25
2015-0252-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,DFO:4268|GLIDE:TC-2015-000075,Tropical storm Kujira,VNM,Viet Nam,South-eastern Asia,Asia,Son La province,,,No,No,No,,,Kph,,,,2015,6,24,2015,6,29,7,,,115,115,,,,,,,75.5579767689445,"[{""adm1_code"":3378,""adm1_name"":""Son La""}]",2015-07-15,2025-06-25
2015-0292-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,DFO:4280|GLIDE:FL-2015-000098,,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ninh province,Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,24336.74,Km2,20.8137,106.86,,2015,7,25,2015,8,5,32,,15000,,15000,,,,,204000,269991,75.5579767689445,"[{""adm1_code"":3375,""adm1_name"":""Quang Ninh""}]",2015-07-28,2025-06-25
2015-0460-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4293,,VNM,Viet Nam,South-eastern Asia,Asia,"Minh Tien village (Vi Xuyen district, Ha Giang province), Khanh Hoa, Cao Bang, Lai Chau, Dong Na, Lam Dong, Binh Thuan, An Giang, Dong Thap provinces",Torrential rains,,No,No,No,,192886.73,Km2,20.567,104.762,,2015,9,7,2015,9,11,2,,100,,100,,,,,,,75.5579767689445,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3342,""adm1_name"":""Dong Nai""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm2_code"":32321,""adm2_name"":""Vi Xuyen""}]",2015-10-14,2023-09-25
2015-0620-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2015-000188,Cyclone Vamco,VNM,Viet Nam,South-eastern Asia,Asia,"Da Nang, Quang Nam (Duy Xuyen, Nong Son districts), Quand Ngai (Ly Son District), Thanh Hoa",,Flood,No,No,No,,,Kph,,,,2015,9,14,2015,9,14,11,,,,,,,,,218,289,75.5579767689445,"[{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2018-05-24,2025-03-05
2015-9617-VNM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2015-000180,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Can Tho city, Dak Lak, Dak Nong, Dong Nai, Dong Thap, Gia Lai, Hau Giang, Ho Chi Minh City, Khanh Hoa, Kon Tum, Lam Dong, Long An, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai, Soc Trang, Tay Ninh, Tien Giang, Tra Vinh, Vinh Long provinces","Lack of rainfall, El NIno",,Yes,No,No,,,Km2,,,,2015,12,,2017,2,,,,1750000,,1750000,,,,,6750000,8933537,75.5579767689445,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3327,""adm1_name"":""Ba Ria-Vung Tau""},{""adm1_code"":3332,""adm1_name"":""Ben Tre""},{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3334,""adm1_name"":""Binh Duong""},{""adm1_code"":3335,""adm1_name"":""Binh Phuoc""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3342,""adm1_name"":""Dong Nai""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3352,""adm1_name"":""Ho Chi Minh City""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3377,""adm1_name"":""Soc Trang""},{""adm1_code"":3379,""adm1_name"":""Tay Ninh""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3386,""adm1_name"":""Tra Vinh""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""},{""adm1_code"":73937,""adm1_name"":""Hau Giang""}]",2016-03-15,2023-09-25
2016-0268-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Storm Mirinae,VNM,Viet Nam,South-eastern Asia,Asia,"Nam Dinh, Thai Binh and Ninh Binh provinces",,,No,No,No,,88,Kph,,,,2016,7,28,2016,7,28,1,5,191745,,191750,,,,,191000,249637,76.5112162038615,"[{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3367,""adm1_name"":""Ninh Binh""},{""adm1_code"":3380,""adm1_name"":""Thai Binh""}]",2016-08-04,2025-03-17
2016-0362-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2016-000111,Tropical storm Aere,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien-Hue, Quang Tri, Quang Binh, Ha Tinh, Nghe An provinces",,Flood,No,No,No,,,Kph,,,,2016,10,13,2016,10,15,34,,610000,,610000,,,,,350000,457449,76.5112162038615,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2016-11-16,2025-06-25
2016-0371-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),GLIDE:TC-2016-000076,Typhoon Carina (Nida),VNM,Viet Nam,South-eastern Asia,Asia,"Muong Kuon, Bao Xat, Bao Thang, Sa Pa",,Flood,No,No,No,,,Kph,,,,2016,8,2,2016,8,2,25,,180000,2500,182500,,,,,144000,188208,76.5112162038615,"[{""adm2_code"":32441,""adm2_name"":""Bao Thang""},{""adm2_code"":32442,""adm2_name"":""Bat Xat""},{""adm2_code"":32443,""adm2_name"":""Muong Khuong""},{""adm2_code"":32444,""adm2_name"":""Sa Pa""}]",2016-11-17,2025-06-25
